date,game,word,wordfreq_commonality,subtlex_commonality,trend_day_language,trend_avg_200_language,trend_day_global,trend_avg_200_global
2025-06-24,1466,elite,0.0005,0.1293,100.0,19.42,75.0,69.08
2025-06-23,1465,oddly,0.0001,0.1051,100.0,0.38,100.0,10.94
2025-06-22,1464,thrum,0.0,0.0106,100.0,0.04,100.0,0.04
2025-06-21,1463,glade,0.0,0.0309,100.0,0.14,100.0,15.2
2025-06-20,1462,taupe,0.0,0.0493,100.0,0.47,100.0,12.39
2025-06-19,1461,curio,0.0,0.0156,100.0,0.19,100.0,3.74
2025-06-18,1460,munch,0.0,0.0573,100.0,5.64,100.0,57.91
2025-06-17,1459,prank,0.0001,0.1512,88.0,24.48,25.0,23.02
2025-06-16,1458,petty,0.0002,0.2124,100.0,32.46,92.0,57.94
2025-06-15,1457,quail,0.0,0.0795,100.0,1.5,86.0,27.44
2025-06-14,1456,ghost,0.0005,0.3408,71.0,69.46,71.0,68.04
2025-06-13,1455,bilge,0.0,0.0697,100.0,0.22,100.0,2.15
2025-06-12,1454,vixen,0.0,0.0632,65.0,2.12,57.0,14.24
2025-06-11,1453,plaid,0.0,0.0901,100.0,15.02,100.0,39.47
2025-06-10,1452,taffy,0.0,0.1147,100.0,0.11,100.0,6.75
2025-06-09,1451,board,0.0033,0.3925,64.0,75.0,36.0,43.08
2025-06-08,1450,lease,0.0003,0.1864,63.0,25.64,80.0,81.49
2025-06-07,1449,reuse,0.0,0.0106,100.0,1.99,100.0,28.22
2025-06-06,1448,edify,0.0,0.0055,100.0,0.15,100.0,0.73
2025-06-05,1447,datum,0.0,0.0,100.0,5.3,100.0,9.52
2025-06-04,1446,cease,0.0002,0.2138,43.0,7.7,20.0,7.6
2025-06-03,1445,admin,0.0002,0.0336,100.0,17.6,100.0,62.98
2025-06-02,1444,preen,0.0,0.0055,100.0,0.1,100.0,0.91
2025-06-01,1443,rough,0.0006,0.3428,56.0,27.15,92.0,80.12
2025-05-31,1442,habit,0.0003,0.2574,35.0,29.71,57.0,50.58
